,node_index
ENSG00000110944,2503
ENSG00000115233,2504
ENSG00000123360,2505
ENSG00000130758,2506
ENSG00000132329,2507
ENSG00000134853,2508
ENSG00000135766,2509
ENSG00000135902,2510
ENSG00000137267,2511
ENSG00000137757,2512
ENSG00000137806,2513
ENSG00000139053,2514
ENSG00000139193,2515
ENSG00000139874,2516
ENSG00000142327,2517
ENSG00000142512,2518
ENSG00000148229,2519
ENSG00000150093,2520
ENSG00000154229,2521
ENSG00000162736,2522
ENSG00000163394,2523
ENSG00000164129,2524
ENSG00000165059,2525
ENSG00000165409,2526
ENSG00000165646,2527
ENSG00000166006,2528
ENSG00000167258,2529
ENSG00000167535,2530
ENSG00000169313,2531
ENSG00000169836,2532
ENSG00000169925,2533
ENSG00000171094,2534
ENSG00000175535,2535
ENSG00000178562,2536
ENSG00000180720,2537
ENSG00000184292,2538
ENSG00000185313,2539
ENSG00000189043,2540
ENSG00000196126,2541
ENSG00000196482,2542
ENSG00000196549,2543
ENSG00000197386,2544
ENSG00000198178,2545
ENSG00000198216,2546
ENSG00000198223,2547
ENSG00000198838,2548
ENSG00000198886,2549
ENSG00000204256,2550
ENSG00000213903,2551
ENSG00000214042,2552
ENSG00000215182,2553
ENSG00000215644,2554
ENSG00000248144,2555
ENSG00000018625,2556
ENSG00000049540,2557
ENSG00000069696,2558
ENSG00000080293,2559
ENSG00000091136,2560
ENSG00000101846,2561
ENSG00000102245,2562
ENSG00000105388,2563
ENSG00000105464,2564
ENSG00000106462,2565
ENSG00000110448,2566
ENSG00000111816,2567
ENSG00000114854,2568
ENSG00000115232,2569
ENSG00000115286,2570
ENSG00000117013,2571
ENSG00000117525,2572
ENSG00000121879,2573
ENSG00000121966,2574
ENSG00000128039,2575
ENSG00000128052,2576
ENSG00000131495,2577
ENSG00000135446,2578
ENSG00000135862,2579
ENSG00000136531,2580
ENSG00000138622,2581
ENSG00000139626,2582
ENSG00000140459,2583
ENSG00000141736,2584
ENSG00000148680,2585
ENSG00000148795,2586
ENSG00000151062,2587
ENSG00000152256,2588
ENSG00000154678,2589
ENSG00000159131,2590
ENSG00000160223,2591
ENSG00000161955,2592
ENSG00000162434,2593
ENSG00000162889,2594
ENSG00000162989,2595
ENSG00000163399,2596
ENSG00000164171,2597
ENSG00000164342,2598
ENSG00000165806,2599
