drug_id,disease_id,drug_idx,disease_idx
CHEMBL4297364,HP_0006536,504,6113
CHEMBL864,EFO_0003956,507,8145
CHEMBL864,EFO_0007533,507,8206
CHEMBL864,EFO_0007141,507,8382
CHEMBL864,EFO_1001417,507,9365
CHEMBL894,MONDO_0002009,508,5268
CHEMBL1086,HP_0000989,510,6199
CHEMBL1086,EFO_0009552,510,6804
CHEMBL2108429,HP_0006536,516,6113
CHEMBL2108738,EFO_0002617,517,5382
CHEMBL389621,HP_0001742,522,5455
CHEMBL389621,EFO_0009552,522,6804
CHEMBL389621,EFO_1001888,522,6901
CHEMBL389621,EFO_1001347,522,9482
CHEMBL435,EFO_0003913,524,9586
CHEMBL776,HP_0006536,526,6113
CHEMBL1200,HP_0000989,528,6199
CHEMBL1201202,HP_0004419,529,4859
CHEMBL1201864,HP_0000132,531,5088
CHEMBL1237119,HP_0004419,533,4859
CHEMBL1628227,HP_0000989,537,6199
CHEMBL22,EFO_0007448,538,9395
CHEMBL462605,EFO_0000614,544,5190
CHEMBL880,EFO_1001888,547,6901
CHEMBL880,EFO_0007282,547,9441
CHEMBL880,EFO_1001347,547,9482
CHEMBL977,EFO_0009552,549,6804
CHEMBL977,EFO_1001888,549,6901
CHEMBL1174,HP_0004419,552,4859
CHEMBL1201515,EFO_1001485,555,9551
CHEMBL1753,EFO_0003894,556,7494
CHEMBL1753,EFO_1001312,556,9028
CHEMBL2108250,HP_0004419,557,4859
CHEMBL252556,EFO_0003888,558,8694
CHEMBL3813873,EFO_1000562,560,7071
CHEMBL632,HP_0001742,563,5455
CHEMBL632,HP_0006536,563,6113
CHEMBL632,EFO_0009552,563,6804
CHEMBL632,EFO_1001888,563,6901
CHEMBL1200633,EFO_1000760,564,9075
CHEMBL131,HP_0001094,569,4858
CHEMBL131,HP_0012424,569,5421
CHEMBL131,HP_0001742,569,5455
CHEMBL131,EFO_0009552,569,6804
CHEMBL131,EFO_1001888,569,6901
CHEMBL131,EFO_1000941,569,7835
CHEMBL131,EFO_1001194,569,8123
CHEMBL131,EFO_0003898,569,8126
CHEMBL131,EFO_0004274,569,8202
CHEMBL131,EFO_0007141,569,8382
CHEMBL131,EFO_0007520,569,8564
CHEMBL131,EFO_1000039,569,8783
CHEMBL131,EFO_0009456,569,8806
CHEMBL131,EFO_0007257,569,8859
CHEMBL131,EFO_1000694,569,9025
CHEMBL131,EFO_0007403,569,9119
CHEMBL131,EFO_1000997,569,9190
CHEMBL131,EFO_1001896,569,9210
CHEMBL131,EFO_1001051,569,9302
CHEMBL131,EFO_1001205,569,9435
CHEMBL2108129,HP_0004419,571,4859
CHEMBL3039502,MONDO_0018906,573,6502
CHEMBL573,HP_0003124,578,5907
CHEMBL573,HP_0001891,578,6462
CHEMBL573,EFO_0003894,578,7494
CHEMBL730,EFO_0009552,579,6804
CHEMBL730,EFO_0003913,579,9586
CHEMBL897,EFO_0004274,581,8202
CHEMBL1200562,EFO_0009552,583,6804
CHEMBL1200562,EFO_1001888,583,6901
CHEMBL1265,EFO_0003894,584,7494
CHEMBL1676,HP_0001742,586,5455
CHEMBL1676,HP_0006536,586,6113
CHEMBL1676,EFO_0003956,586,8145
CHEMBL1908360,EFO_0002499,588,4908
CHEMBL1908360,HP_0009720,588,5234
CHEMBL1908360,MONDO_0016693,588,5637
CHEMBL1908360,Orphanet_805,588,13447
CHEMBL2108676,Orphanet_309297,589,10582
CHEMBL3989917,HP_0002013,594,5878
CHEMBL3989917,EFO_0006911,594,9503
CHEMBL896,HP_0000989,596,6199
CHEMBL998,EFO_0003956,597,8145
CHEMBL1175,MONDO_0002009,598,5268
CHEMBL1175,EFO_0005687,598,7323
CHEMBL1201256,EFO_0004888,600,7986
CHEMBL207538,EFO_0007453,608,9168
CHEMBL4298062,Orphanet_98896,612,13423
CHEMBL499808,EFO_1001282,613,8068
CHEMBL869,EFO_1001888,615,6901
CHEMBL927,HP_0011110,616,5849
CHEMBL927,EFO_0006505,616,8441
CHEMBL95,HP_0000726,617,6059
CHEMBL1200989,EFO_1001888,619,6901
CHEMBL1201572,EFO_0003898,621,8126
CHEMBL1440,EFO_1001888,624,6901
CHEMBL1440,EFO_0004607,624,8695
CHEMBL1451,HP_0001742,625,5455
CHEMBL1451,HP_0006536,625,6113
CHEMBL1451,EFO_0009552,625,6804
CHEMBL1451,EFO_1001888,625,6901
CHEMBL1743070,MONDO_0015564,627,5045
CHEMBL1743070,EFO_1001332,627,9463
CHEMBL1873475,EFO_0002616,628,4835
CHEMBL1873475,EFO_0009441,628,7551
CHEMBL2105224,HP_0012735,629,5422
CHEMBL308954,EFO_0000180,631,6410
CHEMBL501849,EFO_0004220,635,8253
CHEMBL527,HP_0002829,636,6156
CHEMBL527,EFO_1001888,636,6901
