,node_index
CHEMBL1697856,673
CHEMBL2063090,674
CHEMBL2105637,675
CHEMBL2107175,676
CHEMBL2108184,677
CHEMBL223228,678
CHEMBL32800,679
CHEMBL397420,680
CHEMBL550348,681
CHEMBL635,682
CHEMBL1171837,683
CHEMBL1200907,684
CHEMBL1201247,685
CHEMBL1201341,686
CHEMBL1201837,687
CHEMBL1291,688
CHEMBL1520,689
CHEMBL1541,690
CHEMBL1909079,691
CHEMBL2108675,692
CHEMBL36715,693
CHEMBL3989738,694
CHEMBL453,695
CHEMBL455,696
CHEMBL568,697
CHEMBL61006,698
CHEMBL1201319,699
CHEMBL1201629,700
CHEMBL1201752,701
CHEMBL1237024,702
CHEMBL1303,703
CHEMBL1547,704
CHEMBL1595,705
CHEMBL182,706
CHEMBL19236,707
CHEMBL2108041,708
CHEMBL231884,709
CHEMBL2364612,710
CHEMBL271227,711
CHEMBL3218576,712
CHEMBL3545123,713
CHEMBL365795,714
CHEMBL4101807,715
CHEMBL413965,716
CHEMBL522038,717
CHEMBL553025,718
CHEMBL565,719
CHEMBL796,720
CHEMBL817,721
CHEMBL92870,722
CHEMBL98,723
CHEMBL1113,724
CHEMBL1201207,725
CHEMBL1201531,726
CHEMBL1201570,727
CHEMBL1201586,728
CHEMBL1354,729
CHEMBL1447,730
CHEMBL1661,731
CHEMBL1684,732
CHEMBL189,733
CHEMBL2103872,734
CHEMBL22242,735
CHEMBL304902,736
CHEMBL406,737
CHEMBL418995,738
CHEMBL451887,739
CHEMBL525610,740
CHEMBL61593,741
CHEMBL1393,742
CHEMBL1455,743
CHEMBL1510,744
CHEMBL177,745
CHEMBL189963,746
CHEMBL2403108,747
CHEMBL302795,748
CHEMBL314437,749
CHEMBL428,750
CHEMBL514800,751
CHEMBL689,752
CHEMBL6995,753
CHEMBL1161,754
CHEMBL1200737,755
CHEMBL1201229,756
CHEMBL1224,757
CHEMBL1272,758
CHEMBL1743047,759
CHEMBL1751,760
CHEMBL2108581,761
CHEMBL2109065,762
CHEMBL2205807,763
CHEMBL222813,764
CHEMBL3989949,765
CHEMBL413,766
CHEMBL427216,767
CHEMBL4297229,768
CHEMBL4297536,769
CHEMBL4594214,770
CHEMBL508102,771
CHEMBL597,772
CHEMBL941,773
CHEMBL1014,774
CHEMBL1089318,775
CHEMBL1123,776
CHEMBL1139,777
CHEMBL1187833,778
CHEMBL1201631,779
CHEMBL1232131,780
CHEMBL1480987,781
CHEMBL1594,782
CHEMBL1755,783
CHEMBL4297620,784
CHEMBL4298110,785
CHEMBL452231,786
CHEMBL58,787
CHEMBL715,788
CHEMBL729,789
CHEMBL996,790
CHEMBL1042,791
CHEMBL1072,792
CHEMBL1112,793
CHEMBL1166,794
CHEMBL1201,795
CHEMBL1201224,796
CHEMBL1201439,797
CHEMBL1201533,798
CHEMBL1201584,799
CHEMBL170,800
CHEMBL17157,801
CHEMBL1752,802
CHEMBL2107857,803
CHEMBL2107991,804
CHEMBL2108597,805
CHEMBL3183075,806
CHEMBL3184512,807
CHEMBL35,808
CHEMBL443,809
CHEMBL488,810
CHEMBL504,811
CHEMBL600325,812
CHEMBL1082,813
CHEMBL1180725,814
CHEMBL1200686,815
CHEMBL1200862,816
CHEMBL1292,817
CHEMBL1396,818
CHEMBL1549,819
CHEMBL1587,820
CHEMBL1639,821
CHEMBL175691,822
CHEMBL2218896,823
CHEMBL2364632,824
CHEMBL3936761,825
CHEMBL409,826
CHEMBL434,827
CHEMBL480,828
CHEMBL639,829
CHEMBL717,830
CHEMBL1071,831
CHEMBL1200622,832
CHEMBL1200922,833
CHEMBL1201170,834
CHEMBL1397,835
CHEMBL1505,836
CHEMBL163,837
CHEMBL1750,838
CHEMBL2104095,839
CHEMBL3039597,840
CHEMBL3237547,841
CHEMBL34259,842
CHEMBL3989769,843
CHEMBL431,844
CHEMBL461522,845
CHEMBL807,846
CHEMBL1089221,847
CHEMBL1140,848
CHEMBL1191,849
CHEMBL1201146,850
CHEMBL1201662,851
CHEMBL1201825,852
CHEMBL1231574,853
CHEMBL1237026,854
CHEMBL1311,855
CHEMBL1389,856
CHEMBL248702,857
CHEMBL305187,858
CHEMBL3707334,859
CHEMBL3988900,860
CHEMBL446,861
CHEMBL498847,862
CHEMBL517,863
CHEMBL64195,864
CHEMBL770,865
CHEMBL829,866
CHEMBL89598,867
CHEMBL1095777,868
CHEMBL1096882,869
CHEMBL1200689,870
CHEMBL1201192,871
CHEMBL1201507,872
CHEMBL1229,873
CHEMBL15023,874
CHEMBL2048028,875
CHEMBL27,876
CHEMBL277522,877
CHEMBL3833389,878
CHEMBL614,879
CHEMBL644,880
CHEMBL73234,881
CHEMBL990,882
CHEMBL1059,883
CHEMBL1095,884
CHEMBL1109,885
CHEMBL1200645,886
CHEMBL1201199,887
CHEMBL1201335,888
CHEMBL1201561,889
CHEMBL1201593,890
CHEMBL1201610,891
CHEMBL1474889,892
CHEMBL1743068,893
CHEMBL2108200,894
CHEMBL2108201,895
CHEMBL2108535,896
CHEMBL2108730,897
CHEMBL2355051,898
CHEMBL267744,899
CHEMBL421,900
CHEMBL431770,901
CHEMBL506569,902
CHEMBL71,903
CHEMBL114,904
CHEMBL1201264,905
CHEMBL12856,906
CHEMBL1519,907
CHEMBL1689772,908
CHEMBL2028850,909
CHEMBL2105395,910
CHEMBL33,911
CHEMBL398707,912
CHEMBL3990048,913
CHEMBL4216467,914
CHEMBL465,915
CHEMBL56564,916
CHEMBL569713,917
CHEMBL692,918
CHEMBL709,919
CHEMBL1200826,920
CHEMBL1220,921
CHEMBL1256841,922
CHEMBL1359,923
CHEMBL139,924
CHEMBL1697841,925
CHEMBL2105737,926
CHEMBL291157,927
CHEMBL3306803,928
CHEMBL3833373,929
CHEMBL4204794,930
CHEMBL547,931
CHEMBL580,932
CHEMBL659,933
CHEMBL871,934
CHEMBL110458,935
CHEMBL1173055,936
CHEMBL1200979,937
CHEMBL1201772,938
CHEMBL1423,939
CHEMBL1515,940
CHEMBL1525,941
CHEMBL1560,942
CHEMBL1622,943
CHEMBL1729,944
CHEMBL1789941,945
CHEMBL1964120,946
CHEMBL2107333,947
CHEMBL2108278,948
CHEMBL2109092,949
CHEMBL2110563,950
CHEMBL3707372,951
CHEMBL521,952
CHEMBL6,953
CHEMBL603,954
CHEMBL684,955
CHEMBL1172,956
CHEMBL1194,957
CHEMBL1201236,958
CHEMBL1201325,959
CHEMBL1201608,960
CHEMBL129,961
CHEMBL1373254,962
CHEMBL1770248,963
CHEMBL2105741,964
CHEMBL2109016,965
CHEMBL2109152,966
CHEMBL373742,967
CHEMBL4297537,968
CHEMBL53,969
CHEMBL59,970
CHEMBL657,971
CHEMBL891,972
CHEMBL1177,973
CHEMBL1201314,974
CHEMBL1229517,975
CHEMBL1229908,976
CHEMBL1305,977
CHEMBL24924,978
CHEMBL3112741,979
CHEMBL3545189,980
CHEMBL37390,981
CHEMBL388590,982
CHEMBL408403,983
CHEMBL76,984
CHEMBL799,985
CHEMBL841,986
CHEMBL94081,987
CHEMBL953,988
CHEMBL1023,989
CHEMBL1201534,990
CHEMBL1201835,991
CHEMBL1370,992
CHEMBL1378,993
CHEMBL13828,994
CHEMBL1534,995
CHEMBL1604,996
CHEMBL1734,997
CHEMBL2103737,998
CHEMBL2141296,999
CHEMBL24171,1000
CHEMBL278398,1001
CHEMBL3187723,1002
CHEMBL479,1003
CHEMBL493287,1004
CHEMBL839,1005
CHEMBL106,1006
CHEMBL1079,1007
CHEMBL1200711,1008
CHEMBL1201134,1009
CHEMBL1201481,1010
CHEMBL1201668,1011
CHEMBL1201836,1012
CHEMBL125,1013
CHEMBL1614701,1014
CHEMBL1874750,1015
CHEMBL1951095,1016
CHEMBL2146161,1017
CHEMBL220491,1018
CHEMBL2359370,1019
CHEMBL277474,1020
CHEMBL3544921,1021
CHEMBL4298187,1022
CHEMBL454,1023
CHEMBL4594252,1024
CHEMBL535,1025
CHEMBL569,1026
CHEMBL700,1027
CHEMBL94394,1028
CHEMBL117785,1029
CHEMBL1201213,1030
CHEMBL1201232,1031
CHEMBL1201560,1032
CHEMBL1279,1033
CHEMBL132530,1034
CHEMBL1351,1035
CHEMBL1626223,1036
CHEMBL193,1037
CHEMBL23,1038
CHEMBL282121,1039
CHEMBL3545110,1040
CHEMBL4,1041
CHEMBL506110,1042
CHEMBL511142,1043
CHEMBL633,1044
CHEMBL86,1045
CHEMBL1201187,1046
CHEMBL1201516,1047
CHEMBL1201688,1048
CHEMBL1219,1049
CHEMBL1237072,1050
CHEMBL1422,1051
CHEMBL1621597,1052
CHEMBL1644,1053
CHEMBL1743034,1054
CHEMBL2104356,1055
CHEMBL249856,1056
CHEMBL442,1057
CHEMBL46399,1058
CHEMBL524004,1059
CHEMBL546,1060
CHEMBL73451,1061
CHEMBL94,1062
CHEMBL95889,1063
CHEMBL963,1064
CHEMBL1200539,1065
CHEMBL1201353,1066
CHEMBL1201823,1067
CHEMBL1378024,1068
CHEMBL1399,1069
CHEMBL1621,1070
CHEMBL1650559,1071
CHEMBL1743049,1072
CHEMBL19019,1073
CHEMBL19490,1074
CHEMBL2106439,1075
CHEMBL2146883,1076
CHEMBL268869,1077
CHEMBL3301612,1078
CHEMBL3991035,1079
CHEMBL404,1080
CHEMBL41355,1081
CHEMBL638,1082
CHEMBL701,1083
CHEMBL1002,1084
CHEMBL1086440,1085
CHEMBL1129,1086
CHEMBL1200661,1087
CHEMBL1201334,1088
CHEMBL1201414,1089
CHEMBL1201564,1090
CHEMBL1201830,1091
CHEMBL1237054,1092
CHEMBL130,1093
CHEMBL1760,1094
CHEMBL2107869,1095
CHEMBL2216870,1096
CHEMBL3989843,1097
CHEMBL4297503,1098
CHEMBL4297522,1099
CHEMBL4298047,1100
CHEMBL485253,1101
CHEMBL578,1102
CHEMBL790,1103
CHEMBL93645,1104
CHEMBL1200453,1105
CHEMBL1201580,1106
CHEMBL1290,1107
CHEMBL1464,1108
CHEMBL16,1109
CHEMBL1643,1110
CHEMBL1683,1111
CHEMBL2103837,1112
CHEMBL2106119,1113
CHEMBL288470,1114
CHEMBL3301669,1115
CHEMBL414357,1116
CHEMBL42,1117
CHEMBL4297852,1118
CHEMBL456,1119
CHEMBL515,1120
CHEMBL550,1121
CHEMBL723,1122
CHEMBL74632,1123
CHEMBL77622,1124
CHEMBL8,1125
CHEMBL833,1126
CHEMBL1106,1127
CHEMBL1187724,1128
CHEMBL1200799,1129
CHEMBL1229211,1130
CHEMBL1550,1131
CHEMBL17860,1132
CHEMBL189171,1133
CHEMBL2108727,1134
CHEMBL211456,1135
CHEMBL252518,1136
CHEMBL3039583,1137
CHEMBL3989977,1138
CHEMBL459324,1139
CHEMBL504760,1140
CHEMBL51,1141
CHEMBL515606,1142
CHEMBL566315,1143
CHEMBL711,1144
CHEMBL85,1145
CHEMBL1017,1146
CHEMBL111,1147
CHEMBL1111,1148
CHEMBL1200830,1149
CHEMBL1201281,1150
CHEMBL1201473,1151
CHEMBL122,1152
CHEMBL1565476,1153
CHEMBL161,1154
CHEMBL1625,1155
CHEMBL288441,1156
CHEMBL3545184,1157
CHEMBL4297528,1158
CHEMBL43,1159
CHEMBL503160,1160
CHEMBL517712,1161
CHEMBL719,1162
CHEMBL75753,1163
CHEMBL945,1164
CHEMBL1077896,1165
CHEMBL1201109,1166
CHEMBL1201270,1167
CHEMBL1201776,1168
CHEMBL1238,1169
CHEMBL1346,1170
CHEMBL1483,1171
CHEMBL16073,1172
CHEMBL1741134,1173
CHEMBL188952,1174
CHEMBL191083,1175
CHEMBL20883,1176
CHEMBL2104607,1177
CHEMBL2107834,1178
CHEMBL290916,1179
CHEMBL39736,1180
CHEMBL4297723,1181
CHEMBL495,1182
CHEMBL502,1183
CHEMBL564,1184
CHEMBL58323,1185
CHEMBL601,1186
CHEMBL83,1187
CHEMBL831,1188
CHEMBL982,1189
CHEMBL10878,1190
CHEMBL1201529,1191
CHEMBL1201571,1192
CHEMBL1201619,1193
CHEMBL1201657,1194
CHEMBL1269025,1195
CHEMBL1364,1196
