,node_index
MONDO_0002355,5532
MONDO_0004483,5533
MONDO_0009776,5534
MONDO_0014821,5535
MONDO_0030029,5536
MONDO_0030051,5537
MONDO_0032927,5538
MONDO_0033558,5539
EFO_0003110,5540
HP_0000343,5541
HP_0003698,5542
MONDO_0009544,5543
MONDO_0014689,5544
MONDO_0014958,5545
MONDO_0017089,5546
MONDO_0032677,5547
MONDO_0032687,5548
MONDO_0042484,5549
HP_0001290,5550
HP_0001548,5551
HP_0001769,5552
HP_0003127,5553
HP_0003155,5554
HP_0003231,5555
HP_0011565,5556
MONDO_0032745,5557
EFO_0002497,5558
HP_0003150,5559
HP_0003710,5560
HP_0009130,5561
HP_0012448,5562
MONDO_0003214,5563
MONDO_0014707,5564
MONDO_0054837,5565
EFO_0003017,5566
HP_0000272,5567
HP_0000311,5568
HP_0000758,5569
HP_0001344,5570
HP_0001405,5571
HP_0002747,5572
HP_0003179,5573
HP_0007559,5574
HP_0007780,5575
HP_0007924,5576
HP_0008981,5577
HP_0012304,5578
MONDO_0003632,5579
MONDO_0004897,5580
MONDO_0007664,5581
MONDO_0014944,5582
MONDO_0016990,5583
MONDO_0026767,5584
MONDO_0030007,5585
MONDO_0043364,5586
MONDO_0060733,5587
NCIT_C74532,5588
HP_0000248,5589
HP_0000581,5590
HP_0003429,5591
HP_0004925,5592
HP_0005224,5593
HP_0009623,5594
HP_0012450,5595
MONDO_0001543,5596
MONDO_0001680,5597
MONDO_0003681,5598
MONDO_0009305,5599
MONDO_0014700,5600
MONDO_0018661,5601
MONDO_0030916,5602
MONDO_0033569,5603
HP_0002350,5604
HP_0003401,5605
HP_0004532,5606
HP_0032155,5607
MONDO_0012187,5608
MONDO_0014662,5609
MONDO_0017375,5610
MONDO_0021041,5611
MONDO_0024305,5612
MONDO_0044915,5613
HP_0001100,5614
HP_0001518,5615
HP_0001976,5616
HP_0002172,5617
HP_0002376,5618
HP_0003163,5619
HP_0004371,5620
HP_0100249,5621
HP_0100578,5622
HP_0100585,5623
MONDO_0002354,5624
MONDO_0003684,5625
MONDO_0014415,5626
MONDO_0016712,5627
MONDO_0024419,5628
MONDO_0030035,5629
MONDO_0030055,5630
HP_0000322,5631
HP_0001917,5632
HP_0003323,5633
HP_0006150,5634
HP_0006677,5635
HP_0030838,5636
MONDO_0016693,5637
MONDO_0021133,5638
MONDO_0030024,5639
MONDO_0030087,5640
MONDO_0044303,5641
MONDO_0060707,5642
HP_0002236,5643
HP_0003547,5644
HP_0007803,5645
HP_0008625,5646
HP_0011096,5647
HP_0011841,5648
HP_0030114,5649
HP_0040175,5650
HP_0045059,5651
MONDO_0004514,5652
MONDO_0011581,5653
MONDO_0018696,5654
MONDO_0032941,5655
MONDO_0033541,5656
EFO_0000350,5657
EFO_0000777,5658
EFO_0003029,5659
HP_0000580,5660
HP_0007236,5661
HP_0010307,5662
MONDO_0004697,5663
MONDO_0010953,5664
MONDO_0024358,5665
MONDO_0030069,5666
MONDO_0032899,5667
HP_0000863,5668
HP_0011999,5669
MONDO_0017050,5670
EFO_0000335,5671
HP_0000396,5672
HP_0000960,5673
HP_0001007,5674
HP_0003282,5675
HP_0004743,5676
HP_0009908,5677
HP_0011451,5678
MONDO_0000701,5679
MONDO_0003892,5680
MONDO_0009505,5681
MONDO_0018327,5682
MONDO_0018843,5683
MONDO_0021663,5684
MONDO_0054801,5685
EFO_0000224,5686
HP_0002169,5687
HP_0002313,5688
HP_0002616,5689
HP_0008115,5690
HP_0011013,5691
MONDO_0001580,5692
MONDO_0014809,5693
HP_0002575,5694
HP_0003489,5695
HP_0007313,5696
HP_0009890,5697
HP_0010750,5698
HP_0010970,5699
HP_0012317,5700
HP_0040151,5701
MONDO_0003901,5702
MONDO_0004263,5703
MONDO_0008553,5704
MONDO_0009601,5705
MONDO_0015474,5706
MONDO_0021134,5707
MONDO_0021506,5708
MONDO_0030044,5709
EFO_0000432,5710
HP_0000155,5711
HP_0000220,5712
HP_0000414,5713
HP_0002474,5714
HP_0002999,5715
HP_0005387,5716
HP_0030757,5717
MONDO_0008387,5718
MONDO_0020312,5719
MONDO_0021109,5720
MONDO_0029144,5721
MONDO_0032900,5722
MONDO_0032905,5723
MONDO_0033564,5724
MONDO_0060720,5725
EFO_0002614,5726
HP_0000471,5727
HP_0002194,5728
HP_0002280,5729
HP_0008956,5730
HP_0100257,5731
MONDO_0000988,5732
