id,name,drugType,blackBoxWarning,yearOfFirstApproval,parentId,childChemblIds,linkedDiseases.rows,hasBeenWithdrawn,linkedTargets.rows
CHEMBL614,PYRAZINAMIDE,Small molecule,False,1971.0,,['CHEMBL1091434'],,False,
CHEMBL644,TRIMIPRAMINE,Small molecule,True,1979.0,,['CHEMBL1200948'],['MONDO_0002050' 'HP_0000726' 'EFO_0003761' 'EFO_0005230' 'EFO_0000692'],False,"['ENSG00000103546' 'ENSG00000149295' 'ENSG00000102468' 'ENSG00000171873'
 'ENSG00000170214' 'ENSG00000120907' 'ENSG00000196639' 'ENSG00000147246']"
CHEMBL73234,CARBETAPENTANE,Small molecule,False,,,['CHEMBL1256696'],['EFO_0007486' 'HP_0012735'],True,['ENSG00000147955']
CHEMBL990,BUTENAFINE,Small molecule,False,1996.0,,['CHEMBL1200397'],,False,
CHEMBL1059,PREGABALIN,Small molecule,False,2004.0,,,"['HP_0000989' 'HP_0012735' 'EFO_0000555' 'MONDO_0002959' 'EFO_0003768'
 'EFO_0004698' 'EFO_0003829' 'HP_0002018' 'MONDO_0004892' 'EFO_0003931'
 'EFO_0002506' 'EFO_0004263' 'EFO_0000182' 'EFO_0004616' 'HP_0003419'
 'EFO_0006510' 'EFO_1000789' 'HP_0008419' 'EFO_0000400' 'EFO_0000692'
 'EFO_0005762' 'EFO_1001931' 'EFO_1000877' 'HP_0012532' 'EFO_1000906'
 'EFO_0003821' 'EFO_0000731' 'EFO_0003830' 'EFO_0000342' 'EFO_0003108'
 'EFO_1001998' 'EFO_0005687' 'HP_0000726' 'MONDO_0007254' 'EFO_0009846'
 'EFO_0002950' 'EFO_0007191' 'EFO_0009562' 'EFO_1000783' 'EFO_0009430'
 'EFO_0000474' 'MONDO_0002050' 'EFO_0003100' 'EFO_0004257' 'EFO_0004242'
 'EFO_0000707' 'EFO_0005230' 'EFO_0007490' 'HP_0002069' 'EFO_0007493'
 'EFO_0009558' 'EFO_1001884' 'HP_0001250' 'EFO_0003843' 'HP_0002315'
 'EFO_1001892' 'EFO_0003890' 'EFO_0004273' 'EFO_1000781' 'EFO_0003766'
 'EFO_0005611' 'EFO_0004149' 'EFO_0004270']",False,['ENSG00000153956']
CHEMBL1095,ETHOTOIN,Small molecule,False,1957.0,,,['EFO_0000474'],False,"['ENSG00000153253' 'ENSG00000185313' 'ENSG00000183873' 'ENSG00000136546'
 'ENSG00000144285' 'ENSG00000169432' 'ENSG00000168356' 'ENSG00000136531'
 'ENSG00000007314' 'ENSG00000196876']"
CHEMBL1109,SULFAPHENAZOLE,Small molecule,False,1982.0,,,,False,
CHEMBL1200645,ETOPOSIDE PHOSPHATE,Small molecule,False,1996.0,,,"['EFO_0000616' 'MONDO_0000873' 'EFO_0004708' 'MONDO_0100342' 'EFO_0000220'
 'MONDO_0008170' 'EFO_0000403' 'EFO_0000222' 'EFO_0002939' 'EFO_1001946'
 'EFO_0000313' 'EFO_0005952' 'MONDO_0002087' 'EFO_0002501' 'EFO_0002500'
 'MONDO_0003541' 'EFO_0000621' 'EFO_0000565' 'MONDO_0002158' 'EFO_0000096'
 'MONDO_0008903' 'EFO_1001947' 'EFO_0002918' 'EFO_0000574' 'EFO_0001378'
 'EFO_0000183' 'EFO_1000158']",False,['ENSG00000131747']
CHEMBL1201199,LEUPROLIDE,Protein,False,1985.0,,['CHEMBL1200775'],"['EFO_1000256' 'EFO_0005204' 'EFO_0004248' 'Orphanet_64739' 'EFO_0003869'
 'EFO_0001065' 'EFO_0009006' 'EFO_0000249' 'EFO_0000756' 'MONDO_0003061'
 'MONDO_0007254' 'EFO_1001469' 'HP_0031217' 'EFO_0002950' 'HP_0100543'
 'MONDO_0002146' 'MONDO_0000088' 'EFO_0000673' 'EFO_0000196' 'EFO_0000183'
 'EFO_0000616' 'EFO_0000545' 'MONDO_0019165' 'EFO_0001073' 'EFO_0003843'
 'MONDO_0008315' 'EFO_0000660' 'EFO_0001663' 'EFO_0000311' 'EFO_0000537'
 'HP_0004322' 'EFO_0009029' 'EFO_0000731' 'EFO_0000764' 'EFO_0001378'
 'MONDO_0024880' 'EFO_0003922']",False,['ENSG00000109163']
CHEMBL1201335,GLYCOPYRRONIUM,Small molecule,False,1961.0,,['CHEMBL3707243' 'CHEMBL1201027'],"['EFO_0003086' 'EFO_0004210' 'EFO_0009512' 'EFO_0001645' 'EFO_0009516'
 'EFO_0009267' 'MONDO_0001187' 'HP_0002110' 'HP_0006536' 'MONDO_0002050'
 'EFO_0010282' 'EFO_0000270' 'HP_0000975' 'EFO_0000341' 'HP_0002307'
 'GO_0007596' 'EFO_0005251']",False,['ENSG00000133019' 'ENSG00000168539']
CHEMBL1201561,PEGINTERFERON ALFA-2B,Protein,True,2001.0,,,"['EFO_1000403' 'EFO_0000637' 'MONDO_0019471' 'EFO_0000756' 'EFO_0000681'
 'EFO_1000209' 'EFO_1001469' 'MONDO_0002087' 'EFO_0007304' 'MONDO_0016691'
 'EFO_0002430' 'EFO_0000565' 'HP_0000083' 'MONDO_0002158' 'EFO_0000339'
 'MONDO_0002974' 'EFO_0000389' 'EFO_0000182' 'EFO_0000326' 'EFO_0003047'
 'EFO_0000707' 'EFO_0002617' 'EFO_0000479' 'HP_0012115' 'EFO_0000616'
 'EFO_0000765' 'EFO_0006859' 'EFO_0001642' 'MONDO_0008170' 'EFO_0000180'
 'Orphanet_636' 'EFO_0004197' 'EFO_0004243' 'EFO_0002429' 'EFO_0005221'
 'EFO_0000311' 'EFO_0004239' 'EFO_0009708' 'EFO_0001422' 'EFO_0004220'
 'MONDO_0100096' 'EFO_0000658' 'EFO_0000764' 'EFO_0000574' 'MONDO_0002367'
 'EFO_0001378' 'MONDO_0018079']",False,['ENSG00000159110' 'ENSG00000142166']
CHEMBL1201593,ALTEPLASE,Enzyme,False,1996.0,,,"['EFO_0009680' 'EFO_0003086' 'EFO_0003097' 'EFO_1001154' 'EFO_0005669'
 'MONDO_0001370' 'EFO_0000373' 'MONDO_0002679' 'EFO_1000637'
 'MONDO_0020673' 'EFO_0003913' 'EFO_0003966' 'EFO_0008585' 'EFO_0000544'
 'EFO_1001375' 'EFO_0000712' 'MONDO_0005299' 'HP_0004419' 'EFO_0003030'
 'MONDO_0002037' 'EFO_0000616' 'EFO_0000694' 'HP_0000016' 'HP_0002140'
 'EFO_0009661' 'EFO_1001157' 'EFO_0000618' 'EFO_1001753' 'EFO_0000311'
 'EFO_1001045' 'MP_0001914' 'EFO_0000713' 'MONDO_0100096' 'MONDO_0000831'
 'EFO_0003827' 'EFO_0003907' 'EFO_0008583' 'EFO_0000612' 'EFO_0009637'
 'HP_0004418']",False,['ENSG00000122194']
